,countryname,year,rile,stance_positivity_score,gini Coefficient,leading,welfare spending,electoral_dem_ind,GNI
207,Belgium,2019,-11.638571428571428,65.63985714285714,0.27219802,left,28.218,0.9,541049419119.999
214,Netherlands,2006,8.3888,38.140499999999996,0.30043328,right,16.428,0.868,728716911607.058
224,Netherlands,2010,7.8622,37.9042,0.2784525,right,17.463,0.876,839862719800.002
234,Netherlands,2012,3.8320909090909097,32.56090909090909,0.2762093,right,17.923,0.876,829582906275.0
245,Netherlands,2017,-3.587846153846154,55.206384615384614,0.2853582,right,16.649,0.879,824285426585.884
258,Luxembourg,2009,-19.052666666666667,35.706833333333336,0.3119692,left,22.535,0.878,34736149608.2226
264,Luxembourg,2013,-15.809166666666664,34.224833333333336,0.32036045,left,20.889,0.88,46779637636.2746
270,France,2007,-14.449,37.851,0.32427728,left,28.237,0.882,2713440990838.05
276,France,2012,-22.948500000000003,43.1973,0.3311486,left,31.177,0.893,2742349300400.39
286,France,2017,-8.3333,66.89590000000001,0.31632066,right,31.446,0.892,2653805221561.18
296,Italy,2006,9.425294117647056,38.784705882352945,0.33697397,left,24.176,0.856,1957286082582.7
313,Italy,2008,0.07519999999999953,49.7216,0.33770102,left,24.934,0.858,2386641522088.98
318,Italy,2013,-2.670692307692307,38.440538461538466,0.3491185,left,27.87,0.862,2138212137190.75
331,Italy,2018,-0.9353636363636365,47.2890909090909,0.35222572,left,27.516,0.868,2115040163160.31
342,Spain,2008,-9.273636363636363,37.60418181818182,0.34221572,left,22.326,0.885,1586564225114.84
353,Spain,2011,-19.97792307692308,34.807153846153845,0.35698605,left,25.541,0.893,1454580711702.34
366,Spain,2015,-23.59776923076923,47.03815384615385,0.3618141999999999,left,24.707,0.858,1195894016724.61
379,Spain,2016,-22.34546153846154,47.382153846153855,0.35759893,left,24.245,0.851,1236606698893.78
392,Spain,2019,-16.671344827586207,56.29613793103448,0.34305838,left,24.647,0.874,1396786257474.51
421,Greece,2007,-14.6762,36.126000000000005,0.33953574,left,20.135,0.898,310686621838.71
426,Greece,2009,13.758,20.927200000000003,0.33619058,left,23.912,0.902,323954053840.086
431,Greece,2012,5.144333333333334,42.73766666666666,0.36251,right,27.426,0.901,244054444999.141
446,Greece,2015,-10.641076923076923,34.565588235294115,0.3600026,left,25.716,0.88,195524237566.206
463,Greece,2019,-8.120857142857144,51.52257142857143,0.33104455,right,25.082,0.868,203407936304.627
470,Portugal,2005,-14.688285714285714,34.845142857142854,0.38480073,left,22.424,0.895,194633888528.087
477,Portugal,2009,-10.748,40.2985,0.34907416,left,24.11,0.897,236494959916.316
483,Portugal,2011,-4.854,36.004333333333335,0.36344677,right,24.229,0.887,241146265856.975
489,Portugal,2015,-14.127666666666665,49.95816666666667,0.35523299999999997,left,23.922,0.889,194045468799.965
495,Portugal,2019,-9.1908,57.9227,0.32762748,left,22.341,0.883,233752871351.921
505,Germany,2005,-0.26280000000000003,35.1136,0.3158797,left,26.383,0.897,2870368808691.05
